folder	group	experiment
G000218_OCT_WT_1_544	WT OCT	OCT Experiment 2
G000218_OCT_WT_2_545	WT OCT	OCT Experiment 2
G000218_OCT_WT_3_708	WT OCT	OCT Experiment 2
G000218_OCT_WT_4_709	WT OCT	OCT Experiment 2
G000218_167A	KO OCT	Pilot study
G000218_545	WT OCT	Pilot study
G000218_172C	CTL OCT	Pilot study
G000218_543	WT OCT	Pilot study
G000218_OCT_KO_1_CTRL_173B	CTL OCT	OCT Experiment 2
G000218_OCT_KO_2_CTRL_174A	CTL OCT	OCT Experiment 2
G000218_OCT_KO_3_KO_167A	KO OCT	OCT Experiment 2
G000218_OCT_KO_4_KO_168A	KO OCT	OCT Experiment 2
G000218_460B	WT FFPE	FFPE Experiment 1
G000218_462B	WT FFPE	FFPE Experiment 1
G000218_463A	WT FFPE	FFPE Experiment 1
G000218_708	WT FFPE	FFPE Experiment 3
G000218_709	WT FFPE	FFPE Experiment 3
G000218_710	WT FFPE	FFPE Experiment 3
G000218_713	WT FFPE	FFPE Experiment 3
G000218_CytAssist_OCT_709	WT OCT	CA Experiment 4
G000218_CytAssist_OCT_713	WT OCT	CA Experiment 4
G000218_CytAssist_FFPE_709	WT FFPE	CA Experiment 4
G000218_CytAssist_FFPE_713	WT FFPE	CA Experiment 4
